,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
"koeleria macrantha
",3 – 9 What's My Zone?,,Ornamental Grasses,,Full Sun,"Spring (Mid,Late)Summer (Early,Mid)",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Maryland, New York, Pennsylvania, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Kentucky, Louisiana, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas","Drought, Dry Soil",,"Gravel and Rock Garden, Prairie and Meadow",,Birds,"24"" – 36"" (60cm – 90cm)",
"kosteletzkya virginica
",6 – 10 What's My Zone?,,"Perennials, Shrubs",,Full Sun,"Summer (Early,Mid,Late)Fall",3' – 5' (90cm – 150cm),2' – 3' (60cm – 90cm),"Average, High",Low,"Clay, Loam","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive",Showy,"United States, Northeast, Delaware, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Texas",Wet Soil,"Ponds and Streams, Water Gardens",Coastal Garden,,"Butterflies, Hummingbirds","36"" (90cm)",
"lachnanthes caroliana
",6 – 10 What's My Zone?,,Perennials,,"Full Sun, Partial Sun","Summer (Early,Mid,Late)Fall",1' – 3' (30cm – 90cm),"10"" – 1' (25cm – 30cm)",High,Low,Sand,"Acid, Neutral","Moisture Retentive, Poorly Drained",Showy,"United States, Northeast, Connecticut, Delaware, Maryland, New Jersey, New York, Rhode Island, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia",Wet Soil,"Bog Gardens, Ground Covers, Ponds and Streams","Coastal Garden, Informal and Cottage",,"Birds, Butterflies","12"" (30cm)",
"lantana urticoides
",8 – 11 What's My Zone?,,Shrubs,Lantana,Full Sun,"Spring (Mid,Late)Summer (Early,Mid,Late)Fall",2' – 3' (60cm – 90cm),4' – 6' (120cm – 180cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Southwest, Arizona, New Mexico, Texas","Deer, Drought, Salt",Ground Covers,"Coastal Garden, Informal and Cottage, Mediterranean Garden, Prairie and Meadow",,"Birds, Butterflies","48"" – 72"" (120cm – 180cm)",
"lemna minor
",4 – 10 What's My Zone?,,"Aquatic Plants, Perennials",,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall","2"" – 3"" (5cm – 7cm)",1' – 3' (30cm – 90cm),High,Average,,,,Showy,"United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",Wet Soil,"Ponds and Streams, Water Gardens",,,Birds,,
"lespedeza virginica
",3 – 9 What's My Zone?,,Perennials,,"Full Sun, Partial Sun","Summer (Mid,Late)Fall",2' – 3' (60cm – 90cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Drought,Beds and Borders,Informal and Cottage,,"Birds, Butterflies","24"" (60cm)",
"leucothoe fontanesiana
",5 – 8 What's My Zone?,"4, 5, 6, 7, 15, 16, 17",Shrubs,,"Partial Sun, Shade","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",3' – 6' (90cm – 180cm),3' – 6' (90cm – 180cm),Average,Low,"Clay, Loam, Sand",Acid,"Moist but Well-Drained, Poorly Drained","Showy, Evergreen","United States, Northeast, Massachusetts, New York, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia",Deer,"Banks and Slopes, Beds and Borders, Ground Covers","Informal and Cottage, Prairie and Meadow",,Butterflies,"36"" – 72"" (90cm – 180cm)",5 – 8 What's My Zone?
"liatris aspera
",3 – 8 What's My Zone?,,Perennials,Liatris,Full Sun,Summer (Late)Fall,2' – 5' (60cm – 150cm),1' – 2' (30cm – 60cm),Low,Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Dried Arrangements, Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, New York, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds","12"" – 15"" (30cm – 37cm)",
"liatris cylindracea
",4 – 7 What's My Zone?,,Perennials,Liatris,Full Sun,"Summer (Mid,Late)Fall",1' – 2' (30cm – 60cm),"6"" – 1' (15cm – 30cm)",Low,Low,"Loam, Sand","Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Delaware, New York, Southeast, Alabama, Arkansas, Kentucky, Tennessee","Drought, Dry Soil, Rocky Soil",Beds and Borders,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds","10"" – 12"" (25cm – 30cm)",
"lilium canadense
",3 – 8 What's My Zone?,,"Bulbs, Perennials",Lilium - Lilies,"Full Sun, Partial Sun","Summer (Early,Mid)",3' – 5' (90cm – 150cm),1' – 2' (30cm – 60cm),Average,Low,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Indiana, Kansas, Nebraska, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,,,1 – 8 What's My Zone?
"lilium michiganense
",4 – 8 What's My Zone?,,"Bulbs, Perennials",Lilium - Lilies,"Full Sun, Partial Sun","Summer (Early,Mid)",2' – 5' (60cm – 150cm),1' – 2' (30cm – 60cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, New York, Pennsylvania, Southeast, Alabama, Arkansas, Kentucky, Mississippi, Tennessee, Southwest, Oklahoma",Wet Soil,"Beds and Borders, Rain Gardens","Informal and Cottage, Prairie and Meadow","5"" – 6"" (12cm – 15cm)","Butterflies, Hummingbirds","15"" – 18"" (37cm – 45cm)",
"lilium philadelphicum
",4 – 7 What's My Zone?,,"Bulbs, Perennials",Lilium - Lilies,"Full Sun, Partial Sun","Summer (Mid,Late)",1' – 3' (30cm – 90cm),"9"" – 1' (22cm – 30cm)",Average,Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Montana, Wyoming, Southeast, Alabama, Arkansas, Georgia, Kentucky, North Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Texas",,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds",,
"lilium superbum
",4 – 7 What's My Zone?,"3, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Bulbs, Perennials",Lilium - Lilies,"Full Sun, Partial Sun","Summer (Early,Mid)",6' – 9' (180cm – 270cm),"6"" – 9"" (15cm – 22cm)","Average, High",Low,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Minnesota, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, Tennessee, Virginia, West Virginia",Wet Soil,"Beds and Borders, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow, Traditional Garden","5"" – 6"" (12cm – 15cm)","Butterflies, Hummingbirds","7"" (17cm)",1 – 8 What's My Zone?
"limnobium spongia
",6 – 10 What's My Zone?,,"Aquatic Plants, Perennials",,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall","1"" – 2"" (2cm – 5cm)",,High,Average,,,,Showy,"United States, Midwest, Illinois, Indiana, Missouri, Northeast, Connecticut, Delaware, Maryland, New Jersey, New York, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas",Wet Soil,"Ponds and Streams, Water Gardens",,,Birds,,
"limonium carolinianum
",5 – 11 What's My Zone?,,Perennials,Limonium - Sea Lavender,Full Sun,"Summer (Early,Mid,Late)",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),Average,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Dried Arrangements, Cut Flowers, Showy","United States, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Rhode Island, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, Southwest, Texas","Salt, Wet Soil",Beds and Borders,"Coastal Garden, Informal and Cottage",,Butterflies,"18"" (45cm)",
"lindera benzoin
",4 – 9 What's My Zone?,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6",Shrubs,,"Full Sun, Partial Sun, Shade","Spring (Early,Mid)Fall",6' – 12' (180cm – 3.6m),6' – 12'  (180cm – 3.6m),"Average, High",Low,"Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Drought, Wet Soil","Beds and Borders, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","72"" – 144"" (180cm – 360cm)",
"liquidambar styraciflua
",5 – 10 What's My Zone?,"3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Trees,Liquidambar - Sweet Gums,Full Sun,"Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",60' – 80' (18m – 24m),40' – 60' (12m – 18m),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Missouri, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Rabbit, Wet Soil","Beds and Borders, Rain Gardens",Prairie and Meadow,,,,7 – 9 What's My Zone?
"liriodendron tulipifera
",4 – 9 What's My Zone?,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Trees,Liriodendron - Tulip Trees,Full Sun,"Spring (Mid,Late)Summer (Early,Mid,Late)Fall",60' – 80' (18m – 24m),30' – 40' (9m – 12m),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained","Plant of Merit, Showy","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Missouri, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Texas","Clay Soil, Deer, Rabbit, Wet Soil",,Prairie and Meadow,,"Birds, Butterflies, Hummingbirds",,2 – 9 What's My Zone?
"lonicera sempervirens
",4 – 9 What's My Zone?,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Climbers,Lonicera - Honeysuckles,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early)Fall",8' – 15' (240cm – 4.5m),3' – 6' (90cm – 180cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Showy, Semi-Evergreen, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Dry Soil","Arbors, Pergolas, Trellises, Wall-Side Borders, Walls and Fences","City and Courtyard, Coastal Garden, Informal and Cottage",,"Birds, Butterflies, Hummingbirds","72"" (180cm)",1 – 9 What's My Zone?
"ludwigia palustris
",3 – 7 What's My Zone?,,"Aquatic Plants, Perennials",,Full Sun,"Spring (Mid,Late)Summer (Early,Mid,Late)Fall","3"" – 1' (7cm – 30cm)",,High,Low,"Loam, Sand","Acid, Alkaline, Neutral",Poorly Drained,Showy,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, New Mexico, Oklahoma, Texas",Wet Soil,"Bog Gardens, Ponds and Streams, Rain Gardens, Water Gardens",,,,,
"lupinus perennis
",3 – 8 What's My Zone?,,Perennials,Lupinus - Lupines,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid)",1' – 2' (30cm – 60cm),"10"" – 2' (25cm – 60cm)",Low,Low,"Loam, Sand","Acid, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Virginia, West Virginia, Southwest, Texas",Dry Soil,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds","10"" – 18"" (25cm – 45cm)",
"lycium carolinianum
",8 – 11 What's My Zone?,,Shrubs,,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)FallWinter",3' – 9' (90cm – 270cm),3' – 5' (90cm – 150cm),"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Showy, Evergreen, Fruit & Berries","United States, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, South Carolina, Southwest, Texas","Drought, Salt","Beds and Borders, Hedges and Screens","Coastal Garden, Informal and Cottage",,"Birds, Butterflies, Hummingbirds","36"" – 60"" (90cm – 150cm)",
"lyonia lucida
",7 – 10 What's My Zone?,,Shrubs,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",3' – 6' (90cm – 180cm),3' – 6' (90cm – 180cm),"Average, High",Average,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Poorly Drained","Fragrant, Showy, Evergreen","United States, Southeast, Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Virginia",Wet Soil,"Beds and Borders, Hedges and Screens, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,,"36"" – 72"" (90cm – 180cm)",
"lysimachia ciliata
",3 – 8 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21",Perennials,Lysimachia - Loosestrife,"Full Sun, Partial Sun","Summer (Early,Mid,Late)Fall",1' – 3' (30cm – 90cm),2' – 3' (60cm – 90cm),"Average, High","Low, Average",Loam,"Acid, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained","Cut Flowers, Showy","United States, Alaska, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma",Wet Soil,"Beds and Borders, Bog Gardens, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,,"36"" (90cm)",
"maclura pomifera
",5 – 9 What's My Zone?,,Trees,,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",30' – 60' (9m – 18m),30' – 60' (9m – 18m),"Low, Average",Low,"Clay, Loam","Acid, Alkaline, Neutral",Well-Drained,"Showy, Fruit & Berries","United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Pacific Northwest, Oregon, Washington, Rocky Mountains, Colorado, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas","Clay Soil, Drought, Dry Soil, Wet Soil",Hedges and Screens,Prairie and Meadow,,Birds,,5 – 9 What's My Zone?
"magnolia acuminata
",4 – 8 What's My Zone?,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21",Trees,Magnolia,"Full Sun, Partial Sun","Spring (Late)Summer (Early,Mid,Late)Fall",40' – 70' (12m – 21m),20' – 30' (6m – 9m),Average,Low,"Clay, Loam","Acid, Neutral",Moist but Well-Drained,"Fragrant, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Missouri, Ohio, Northeast, Connecticut, Maine, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",,,Prairie and Meadow,,Birds,,2 – 8 What's My Zone?
"magnolia grandiflora
",7 – 10 What's My Zone?,"4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, H1, H2",Trees,Magnolia,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",60' – 80' (18m – 24m),30' – 50' (9m – 15m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Showy, Evergreen, Fruit & Berries","United States, Northeast, Maryland, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Texas",,,Prairie and Meadow,,Birds,,1 – 9 What's My Zone?
